Company,Role,Domain,Experience,Location,Skills,Full_JD_Text,Type
Potens IT Services & Consultancy,AI Engineer,ML / AI,Internship,Bangalore,"Artificial intelligence, LLM evaluation, Machine Learning, Python, Certificate, Flexible work hours, Informal dress code, Job offer","About the internship As an AI/ML Intern, you will have the opportunity to work on cutting-edge generative AI projects and gain hands-on experience building advanced intelligent systems. Your role will involve moving beyond basic machine learning to develop autonomous workflows, working closely with our technical team to research, build, and deploy high-performance AI architectures. Selected intern's day-to-day responsibilities include: 1. Design, build, and optimize scalable Agentic RAG (Retrieval-Augmented Generation) pipelines for complex data environments. 2. Develop and implement Agentic AI workflows to automate multi-step reasoning and decision-making tasks. 3. Assist in deploying, running, and fine-tuning local Large Language Models (LLMs) on dedicated hardware to optimize for speed and accuracy. 4. Work with vector databases and embedding models to improve data retrieval mechanisms. 5. Write scalable, maintainable, and well-documented code to support AI infrastructure. 6. Collaborate with backend engineers to seamlessly integrate AI agents and LLM outputs into production applications. Skill(s) required Artificial intelligence LLM evaluation Machine Learning Python Earn certifications in these skills Learn Artificial intelligence Learn Machine Learning Learn Python Who can apply Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 18th Jun'26 and 23rd Jul'26 3. are available for duration of 6 months 4. have relevant skills and interests Perks Certificate Flexible work hours Informal dress code Job offer Additional information Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 350000 to 400000/year Number of openings 5 About Potens IT Services & Consultancy At Potens IT Services & Consultancy, innovation is at the core of our strategy and business. We believe in innovation and, hence, have committed dedicated resources, focus, time, and energies to foster innovation within our organization. Potens IT Services & Consultancy was born with the firm belief that innovation cannot be a side project or just an additional responsibility. Activity on Internshala Hiring since August 2024 4 opportunities posted Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
NayePankh Foundation,Artificial Intelligence (AI),ML / AI,Internship,Bangalore,"Artificial intelligence, ChatGPT, Claude, Gemini, Certificate, Letter of recommendation, Flexible work hours, Job offer","About the work from home job/internship Are you passionate about artificial intelligence and looking to gain hands-on experience in the field? We have an exciting opportunity for an AI intern at NayePankh Foundation! As an AI intern, you will work closely with our team to develop and implement cutting-edge AI solutions using platforms like ChatGPT, Claude, and Gemini. Selected intern's day-to-day responsibilities include: 1. Assisting in the development of AI algorithms and models 2. Conducting research on AI technologies and trends 3. Collaborating with team members to integrate AI into various projects 4. Testing and optimizing AI applications for performance 5. Providing support for AI-related initiatives and programs 6. Analyzing data and generating insights to improve AI capabilities 7. Staying updated on the latest advancements in the field of AI If you are a proactive and innovative individual with a strong background in Artificial Intelligence, we want to hear from you! Join us at NayePankh Foundation and be part of a dynamic team that is shaping the future with AI technology. Apply now to kickstart your career in AI! Skill(s) required Artificial intelligence ChatGPT Claude Gemini Earn certifications in these skills Learn Artificial intelligence Learn Machine Learning Learn Natural Language Processing Learn AI in Data Science Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Business Communication + 3 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 26th Jun'26 and 31st Jul'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommendation Flexible work hours Job offer Number of openings 10 About NayePankh Foundation NayePankh Foundation is a UP government, 80G & 12A registered NGO. Featured in The Pioneer, Dainik Jagran, Hindustan, and many more, we are also one of the biggest student-led organizations, working towards the uplifting of the underprivileged & striving to support underprivileged people by all means. We also want to bring a change in society. NayePankh Foundation has supported and trained more than 30,000 interns, helping them build practical skills while staying connected to purpose-driven initiatives. The organization continues to create opportunities where individuals can participate in meaningful work and understand how consistent efforts help initiatives grow and sustain over time. Activity on Internshala Hiring since November 2022 1611 opportunities posted 38113 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
She Can Foundation,Data Science,ML / AI,Internship,Bangalore,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Certificate, Letter of recommendation, Flexible work hours, Job offer","About the work from home job/internship Are you a talented Data Science enthusiast looking to make a difference? Join us at She Can Foundation as a Data Science intern and contribute to our mission of empowering women through data-driven insights! As a key member of our team, you will have the opportunity to work on real projects and gain valuable hands-on experience in the field. 1. Dive into our data collection and analysis processes to help identify trends and patterns. 2. Collaborate with our team to develop predictive models and algorithms to support decision-making. 3. Assist in creating visualizations and reports to communicate findings to stakeholders. 4. Conduct research and stay up-to-date on the latest data science trends and technologies. 5. Participate in meetings and brainstorming sessions to contribute ideas for improving our data strategy. 6. Support in maintaining and optimizing our data infrastructure and systems. 7. Take on ad-hoc projects and tasks as needed to support the overall goals of the organization. If you are a self-motivated individual with a passion for data science and a desire to make a positive impact, apply now and be a part of our dynamic team at She Can Foundation! Skill(s) required Artificial intelligence Data Analytics Data Science Deep Learning Machine Learning Natural Language Processing (NLP) Python SQL Earn certifications in these skills Learn Artificial intelligence Learn Data Analytics Learn Data Science Learn Deep Learning Learn Machine Learning Learn NLP Learn Python Learn SQL + 1 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 27th Jun'26 and 1st Aug'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommendation Flexible work hours Job offer Number of openings 10 About She Can Foundation The She Can Foundation is an NGO, registered under the Indian Societies Registration Act of 1860, dedicated to uplifting and empowering underprivileged women. Our mission is to provide education, training, and resources to help women from marginalized communities overcome obstacles and achieve their full potential. We work to promote gender equality, increase access to healthcare and education, and provide opportunities for economic growth and development. Through our programs and initiatives, we strive to create a world where every woman has the resources and support she needs to thrive and succeed. Join us in our mission to empower women and help build a brighter future for all. Activity on Internshala Hiring since April 2023 2173 opportunities posted 64693 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
Reducate.ai,Artificial Intelligence (AI),ML / AI,Internship,Bangalore,"Artificial intelligence, English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer","About the work from home job/internship Are you passionate about artificial intelligence and looking to gain hands-on experience in a cutting-edge tech company? Reducate.ai is seeking a talented AI intern with English proficiency to join our dynamic team! As an AI intern for product planto.ai, you will have the opportunity to work on exciting projects and contribute to our innovative solutions in the education sector. 1. Assist in pitching  AI  agents and algorithms and models to improve learning outcomes for enterprises. 2. Collaborate with the AI team to analyze and interpret data to drive decision-making. 3. Conduct research on the latest AI technologies and trends to enhance our products. 4. Support in testing and optimizing AI systems to ensure optimal performance. 5. Help in creating documentation and reports for AI projects and initiatives. 6. Participate in team meetings and brainstorming sessions to share ideas and insights. 7. Learn from experienced professionals and gain valuable skills in the field of artificial intelligence. If you are a motivated and curious individual with a strong interest in AI, this internship opportunity at Reducate.ai is perfect for you! Join us in revolutionizing the education industry with the power of artificial intelligence. Apply now and take the first step towards a rewarding career in tech! Skill(s) required Artificial intelligence English Proficiency (Spoken) Earn certifications in these skills Learn Artificial intelligence Learn Business Communication Learn Machine Learning Learn Natural Language Processing Learn AI in Data Science Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting + 3 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 20th Jun'26 and 25th Jul'26 3. are available for duration of 2 months 4. have relevant skills and interests Perks Certificate Letter of recommendation Flexible work hours 5 days a week Job offer Additional information Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 500000 to 1200000/year Number of openings 20 About Reducate.ai Reducate.ai is a diversified technology-led group founded in 2019 by alumni of IIT BHU and IIM Ahmedabad. Operating across education, artificial intelligence, manufacturing, and fashion, the group's mission is to build scalable, future-ready businesses from India for the world. Recognized for innovation and impact, Reducate.ai has been featured among ET Times 40 Under 40 leaders and Forbes 200 emerging companies.  Its ecosystem includes Coding Jr, enabling K-12 schools with coding and AI curricula; Coding Pro, partnering with universities to create Centers of Excellence in AI and Data Science; ItsCredible, an agentic HR and digital credentialing platform; Planto.ai, an enterprise AI OS for copilots and automation; and Elyndra, a premium diamond jewellery brand. Reducate.ai is powered by 50+ professionals from IITs, IIMs, and NIFT, operating with a lean, execution-focused culture and a growing global footprint. Activity on Internshala Hiring since August 2021 1189 opportunities posted 21755 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
OyeLabs,AI Automation,ML / AI,Internship,Bangalore,"Analytical Thinking, ChatGPT, JavaScript, REST API, Certificate, Job offer","About the work from home job/internship Oyelabs is a product and technology company focused on building scalable digital solutions using automation, AI, and intelligent workflows. We work on real-world problems where automation and AI directly impact business outcomes. As an AI Automation Intern, you'll work closely with our team to design, build, and improve automation workflows using n8n and LLMs (OpenAI, Anthropic). This role is ideal for someone who enjoys logical problem-solving and seeks hands-on experience with AI-powered automation systems used in production. You'll start with structured workflows and gradually learn how to evolve them into AI agents that possess memory, decision-making capabilities, and tool usage. Selected intern's day-to-day responsibilities include: 1. Build and maintain automation workflows using n8n. 2. Convert business problems into structured step-by-step automation logic. 3. Integrate third-party APIs and internal services into automation workflows. 4. Work with LLM tools such as OpenAI and Anthropic for keyword extraction, classification, evaluation, and enrichment tasks. 5. Create structured outputs for platforms such as Google Sheets, Excel, and databases. 6. Debug automation workflows and improve system reliability and performance. 7. Assist in evolving automation workflows into AI agents with decision-making logic, context memory, and tool or API usage capabilities. Skill(s) required Analytical Thinking ChatGPT JavaScript REST API Earn certifications in these skills Learn Node.JS using Javascript Learn Software Testing using Javascript Learn Machine Learning Learn Natural Language Processing Learn AI in Data Science Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Artificial intelligence Learn Human Resources Learn Vibe Coding + 6 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 19th Jun'26 and 24th Jul'26 3. are available for duration of 6 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Other requirements 1. Basic to intermediate knowledge of JavaScript. 2. Experience with or strong interest in working with n8n automation tools. 3. Understanding of REST APIs and API integrations. 4. Familiarity with LLM APIs such as OpenAI or Anthropic. 5. Strong logical thinking and analytical problem-solving ability. 6. Willingness to learn and experiment with automation tools and AI systems. 7. Experience with SEO tools or keyword research. 8. Exposure to web scraping or HTML parsing concepts. 9. Understanding of AI agents or workflow-based automation systems. 10. Experience working on automation projects in personal, academic, or freelance environments. Perks Certificate Job offer Additional information Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 200000 to 300000/year 1. Opportunity to learn production-grade automation design. 2. Exposure to AI-driven workflow orchestration systems. 3. Learning experience in the fundamentals of AI agent architecture. 4. Practical experience building automation systems with measurable business impact. 5. Exposure to scaling automation workflows into productized solutions. 6. Growth path from intern to automation engineer to AI agent engineer. Number of openings 4 About OyeLabs Oyelabs Technologies is a leading software development company building innovative and future-ready software for startups and enterprises. We specialize in AI-powered platforms, on-demand solutions, scalable clone products, and ready-made software to simplify business operations and improve efficiency. With 5+ years of experience, interns at Oyelabs gain hands-on experience working on real projects, collaborating with a skilled in-house team, and contributing to impactful solutions. Our focus is on learning, growth, and client satisfaction, fostering long-term relationships and meaningful career development. Activity on Internshala Hiring since December 2019 1157 opportunities posted 108 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
Basti Ki Pathshala Foundation,Machine Learning,ML / AI,Internship,Bangalore,"Artificial intelligence, Data Analytics, Data Science, Deep Learning, HTML, Machine Learning, Natural Language Processing (NLP), Python, R Programming, Certificate, Letter of recommendation, Flexible work hours, Job offer","About the work from home job/internship As a Machine Learning intern at Basti Ki Pathshala Foundation, you will have the opportunity to apply your skills in Python, Data Analytics, Machine Learning, R Programming, Data Science, Natural Language Processing (NLP), Deep Learning, Artificial intelligence, and HTML to help us revolutionize education in underprivileged communities. Your responsibilities will include: 1. Collaborating with the team to develop machine learning models for personalized learning experiences. 2. Analyzing data to identify patterns and insights that drive decision-making. 3. Implementing NLP techniques to enhance communication and understanding within our platform. 4. Utilizing deep learning algorithms to improve predictive analytics and recommendation systems. 5. Contributing to the development of AI-powered tools for interactive learning experiences. 6. Creating and maintaining data visualization dashboards to track key performance metrics. 7. Assisting in the design and optimization of web interfaces using HTML for a seamless user experience. Join us in making a difference through technology and education at Basti Ki Pathshala Foundation! Skill(s) required Artificial intelligence Data Analytics Data Science Deep Learning HTML Machine Learning Natural Language Processing (NLP) Python R Programming Earn certifications in these skills Learn Artificial intelligence Learn Data Analytics Learn Data Science Learn Deep Learning Learn HTML Learn Machine Learning Learn NLP Learn Python + 1 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 27th Jun'26 and 1st Aug'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommendation Flexible work hours Job offer Number of openings 10 About Basti Ki Pathshala Foundation Basti Ki Pathshala Foundation is a Government-registered organization established under the Indian Societies Act of 1860. We are a grassroots organization dedicated to breaking the barriers of education in underserved communities. Founded with a mission to provide quality education to children living in slum areas, we strive to create a nurturing learning environment where every child has the opportunity to thrive. Through innovative teaching methods, community engagement, and partnerships, we empower children with the knowledge and skills they need to build a brighter future. Our commitment extends beyond the classroom as we work towards bridging the educational gap and fostering long-term sustainable change in the lives of marginalized families. Activity on Internshala Hiring since February 2024 1747 opportunities posted 40448 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
Basti Ki Pathshala Foundation,Artificial Intelligence (AI),ML / AI,Internship,Bangalore,"Artificial intelligence, ChatGPT, Claude, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), Gemini, Grok, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, Certificate, Letter of recommendation, Flexible work hours, Job offer","About the work from home job/internship As an AI intern at Basti Ki Pathshala Foundation, you will have the opportunity to work with cutting-edge technologies such as Artificial Intelligence, ChatGPT, Gemini, Grok, Claude, and Machine Learning. Your role will be crucial in helping us develop innovative solutions to enhance our educational programs and services. Key Responsibilities: 1. Assist in designing and implementing AI algorithms to improve learning outcomes for students in underserved communities. 2. Collaborate with the team to create chatbots using ChatGPT to provide personalized support and assistance to students and teachers. 3. Utilize Gemini to analyze data and generate insights to drive decision-making and improve program effectiveness. 4. Work on developing and optimizing models using Grok for natural language processing and understanding. 5. Explore the capabilities of Claude for image recognition and develop applications for educational purposes. 6. Contribute to the development of machine learning models to automate and streamline processes within the organization. 7. Stay up-to-date with the latest advancements in AI technologies and bring new ideas to the table to drive innovation and impact. Join us on this exciting journey to revolutionize education through AI and make a real difference in the lives of students in need. Apply now and be part of our mission to empower the next generation! Skill(s) required Artificial intelligence ChatGPT Claude Data Science Data Structures Deep Learning English Proficiency (Spoken) Gemini Grok Machine Learning Natural Language Processing (NLP) Neural Networks Python Earn certifications in these skills Learn Artificial intelligence Learn Data Science Learn Data Structures Learn Deep Learning Learn Business Communication Learn Machine Learning Learn NLP Learn Python + 1 more skills Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 27th Jun'26 and 1st Aug'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommendation Flexible work hours Job offer Number of openings 10 About Basti Ki Pathshala Foundation Basti Ki Pathshala Foundation is a Government-registered organization established under the Indian Societies Act of 1860. We are a grassroots organization dedicated to breaking the barriers of education in underserved communities. Founded with a mission to provide quality education to children living in slum areas, we strive to create a nurturing learning environment where every child has the opportunity to thrive. Through innovative teaching methods, community engagement, and partnerships, we empower children with the knowledge and skills they need to build a brighter future. Our commitment extends beyond the classroom as we work towards bridging the educational gap and fostering long-term sustainable change in the lives of marginalized families. Activity on Internshala Hiring since February 2024 1747 opportunities posted 40448 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
She Can Foundation,Artificial Intelligence (AI),ML / AI,Internship,Bangalore,"Artificial intelligence, ChatGPT, Claude, Data Science, Data Structures, Deep Learning, Gemini, Grok, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, Certificate, Letter of recommendation, Flexible work hours, Job offer","About the work from home job/internship As an AI intern at She Can Foundation, you will have the exciting opportunity to apply your knowledge of Artificial intelligence, Machine Learning, ChatGPT, Gemini, Grok, and Claude to help empower women and girls around the world. You will work closely with our team to develop innovative solutions and strategies that leverage AI technology to make a meaningful impact. Selected intern's day-to-day responsibilities include: 1. Conduct research and analysis to identify opportunities for integrating AI into our programs and initiatives. 2. Collaborate with cross-functional teams to design and develop AI-powered tools and applications. 3. Test and optimize AI algorithms and models to improve accuracy and performance. 4. Assist in training and educating staff on AI technologies and best practices. 5. Support the implementation and deployment of AI solutions in various projects. 6. Monitor and evaluate the effectiveness of AI interventions and make recommendations for improvements. 7. Stay up-to-date on the latest trends and advancements in AI to continuously enhance our capabilities and drive innovation. If you are passionate about using AI to drive social change and make a positive impact, we want to hear from you! Join us in making a difference and shaping a brighter future for women and girls everywhere. Apply now and be part of something truly special. Skill(s) required Artificial intelligence ChatGPT Claude Data Science Data Structures Deep Learning Gemini Grok Machine Learning Natural Language Processing (NLP) Neural Networks Python Earn certifications in these skills Learn Artificial intelligence Learn Data Science Learn Data Structures Learn Deep Learning Learn Machine Learning Learn NLP Learn Python Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 21st Jun'26 and 26th Jul'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Perks Certificate Letter of recommendation Flexible work hours Job offer Number of openings 5 About She Can Foundation The She Can Foundation is an NGO, registered under the Indian Societies Registration Act of 1860, dedicated to uplifting and empowering underprivileged women. Our mission is to provide education, training, and resources to help women from marginalized communities overcome obstacles and achieve their full potential. We work to promote gender equality, increase access to healthcare and education, and provide opportunities for economic growth and development. Through our programs and initiatives, we strive to create a world where every woman has the resources and support she needs to thrive and succeed. Join us in our mission to empower women and help build a brighter future for all. Activity on Internshala Hiring since April 2023 2173 opportunities posted 64693 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
Hamsi Marketing Private Limited,Artificial Intelligence (AI),ML / AI,Internship,Bangalore,"Artificial intelligence, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, Certificate, Letter of recommendation, Flexible work hours, Job offer","About the work from home job/internship Key Responsibilities: Develop and fine-tune AI-powered voicebots and chatbots to enhance user engagement and communication channels. Build and maintain end-to-end task automation workflows to streamline daily operations and eliminate repetitive tasks. Implement machine learning algorithms, LLMs, and RAG frameworks to optimize business processes and improve tool efficiency. Integrate conversational agents with communication APIs (like Twilio or WhatsApp) and internal databases. Help in designing, training, and testing agentic workflows and prompt structures for autonomous task execution. Stay up-to-date with the latest advancements in Conversational AI and automation technology to contribute fresh ideas to our projects. Skill(s) required Artificial intelligence Data Science Data Structures Deep Learning Machine Learning Natural Language Processing (NLP) Neural Networks Python Earn certifications in these skills Learn Artificial intelligence Learn Data Science Learn Data Structures Learn Deep Learning Learn Machine Learning Learn NLP Learn Python Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 19th Jun'26 and 24th Jul'26 3. are available for duration of 5 months 4. have relevant skills and interests Perks Certificate Letter of recommendation Flexible work hours Job offer Additional information Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 300000 to 600000/year Number of openings 5 About Hamsi Marketing Private Limited At Hamsi Marketing, we pride ourselves on staying at the forefront of technological advancements in the marketing industry. We harness the power of artificial intelligence (AI) and other innovative technologies to deliver exceptional results in both marketing and sales. Our goal is to optimize your marketing efforts and drive sustainable growth for your business. Our comprehensive approach combines data-driven strategies with creative campaigns across various digital platforms. By leveraging advanced targeting techniques and analytics, we ensure that your message reaches the right audience at the right time, maximizing your chances for success. Activity on Internshala Hiring since April 2024 71 opportunities posted 13 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
BP OPTIMA PTE. LTD.,Forward Deployed Engineer Trainee (SLMs),ML / AI,Internship,Bangalore,"APIs, Git, LLMOps, Machine Learning, Model fine-tuning, Natural Language Processing (NLP), Python, PyTorch, Rust, Certificate, Letter of recommendation, Flexible work hours, 5 days a week, Job offer","About the work from home job/internship Selected intern's day-to-day responsibilities include: 1. Work with the founding team on live AI decision systems for enterprise clients 2. Train and fine-tune domain-specific small language models (SLMs) for text, image, and log understanding 3. Build end-to-end AI pipelines from data ingestion to decision output with guardrails and policy logic 4. Run experiments using fine-tuning, embeddings, and RAG techniques 5. Analyze model performance and identify failure points to improve accuracy 6. Take models from development notebooks to production-ready deployment 7. Optimize model performance for speed and cost efficiency 8. Continuously iterate by testing, debugging, and improving model outputs Skill(s) required APIs Git LLMOps Machine Learning Model fine-tuning Natural Language Processing (NLP) Python PyTorch Rust Earn certifications in these skills Learn LLMOps Learn Machine Learning Learn Model Fine-tuning Learn Model fine-tuning Learn NLP Learn Python Who can apply Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 27th Jun'26 and 1st Aug'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply. Other requirements 1. Strong proficiency in Python and PyTorch 2. Ability to write and understand production-level code 3. At least one end-to-end machine learning project experience 4. Strong curiosity about how ML/AI models work internally 5. Hands-on exposure to fine-tuning, embeddings, RAG, or LLMOps (preferred) 6. Exposure to Rust or willingness to learn it (preferred) 7. Experience with hackathons, open-source, or personal AI projects (preferred) 8. Strong problem-solving and experimental mindset 9. Ability to work in a fast-paced, research + production environment Perks Certificate Letter of recommendation Flexible work hours 5 days a week Job offer Additional information Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of ₹ 400000 to 800000/year Number of openings 1 About BP OPTIMA PTE. LTD. Website BPOptima is building decision infrastructure for regulated enterprises. We help companies turn messy real-world evidence (documents, images, logs) into auditable, automated decisions using: Understand, Decide, Route, powered by domain-trained AI and deterministic policy logic. Think: Stripe for enterprise decisions. Activity on Internshala Hiring since February 2026 3 opportunities posted 1 candidate hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login",Internship
